,URL,цена квартиры,цена за кв.метр,адрес квартриы,источник
127,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2366384778,7013760,124800,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
128,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-195941895,6750250,97830,"мкр. Южный, д. 14",Domofond.ru
129,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-197362343,6681300,96830,"мкр. Южный, ЖК «Зеленый остров»",Domofond.ru
130,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2914243702,5800000,103571,"Московская область, Котельники, микрорайон Белая Дача, к17А",Domofond.ru
131,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2366227173,6337500,125000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
132,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2364242392,7500000,89286,"Московская область, Котельники, улица Строителей, 5",Domofond.ru
133,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2439140660,8900000,121918,"Московская область, Котельники, микрорайон Южный, 11",Domofond.ru
134,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2447049509,7900000,107923,"мкр. Южный, д. 11",Domofond.ru
135,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2916277562,10350000,133205,"Московская область, Котельники, Кузьминская улица, 15",Domofond.ru
136,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913098533,6856400,122000,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
137,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913098397,7767360,111600,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
138,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913097023,6204600,114900,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
