,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
45,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1972785669,7296480,112600,64.8,8,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
46,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866385348,6314200,120500,52.4,15,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
47,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256361,5271720,133800,39.4,9,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
48,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2724257077,6654660,118200,56.3,3,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
49,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2735271428,7377860,105700,69.8,8,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
50,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2735271349,6465540,109400,59.1,4,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
51,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256466,4861640,135800,35.8,5,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
52,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2659041437,6631020,112200,59.1,9,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
53,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2512462888,7859430,93900,83.7,11,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
54,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2720097994,8900000,122928,72.4,10,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
55,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2864839581,6700000,186111,36.0,17,18,"Московская область, Котельники, жилой комплекс Парковый",Domofond.ru
56,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2446797271,9900000,92958,106.5,9,15,"мкр. Южный, д. 12",Domofond.ru
57,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2817836479,11300000,105509,107.1,13,17,"Московская область, Котельники, микрорайон Южный, 8",Domofond.ru
58,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256337,7356900,107400,68.5,5,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
59,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2690586670,9027040,101200,89.2,23,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
60,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511627475,8384000,104800,80.0,25,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
61,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2364352351,7809210,93300,83.7,4,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
